window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,32.4377857583239,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-142028.69959565965,121.67479600000661,,2.99051069334654,71352.8945463108,-142028.69959565968,<undefined>
2,24,72,48,24,32.4377857583239,0.0,0,0,match_window_initial,32.4377857583239,aborted,maxTimeLimit,-128725.56969933017,121.82255909999367,,2.0642408742100598,120955.29575940942,-128725.5696993302,<undefined>
3,48,96,48,24,0.0,127.52445817948109,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-140634.49585128197,121.68398869998055,,2.182387148943614,118941.15728247703,-140634.495851282,<undefined>
4,72,120,48,24,127.52445817948109,0.0,0,0,match_window_initial,127.52445817948109,aborted,maxTimeLimit,-131327.51306214786,122.17679870000575,,2.1097485713705986,118339.88026670892,-131327.51306214792,<undefined>
5,96,144,48,24,0.0,119.57118437212742,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-140936.24567151756,121.67022110003745,,2.1965467677837913,117785.82289144915,-140936.2456715176,<undefined>
6,120,168,48,24,119.57118437212742,36.94246,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-137437.3799139094,121.74543329997687,,2.1576481794580813,118721.19902460053,-137437.37991390933,<undefined>
7,144,168,24,24,36.94246,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-70871.26081862909,120.87909910001326,,2.360157437640075,52105.189338664684,-70871.2608186291,<undefined>
