window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,16.265985813600743,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-106733.84645134135,120.89090980001492,,2.25129610996017,85298.6320358167,-106733.84645134135,<undefined>
2,24,72,48,24,16.265985813600743,0.0,0,0,match_window_initial,16.265985813600743,aborted,maxTimeLimit,-97770.80210766337,122.67874970001867,,1.7906220838132583,123663.13072878498,-97770.80210766336,<undefined>
3,48,96,48,24,0.0,127.52445817948109,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-140634.49585128197,122.46943440003088,,2.136458612293038,123748.01363643425,-140634.495851282,<undefined>
4,72,120,48,24,127.52445817948109,69.43381884349633,0,0,match_window_initial,127.52445817948109,aborted,maxTimeLimit,-139259.56453655622,122.51633489999222,,2.1611761776790006,119929.74641876748,-139259.56453655622,<undefined>
5,96,144,48,24,69.43381884349633,0.0,0,0,match_window_initial,69.43381884349633,aborted,maxTimeLimit,-135886.93050602142,122.52200970001286,,2.141316680576081,119061.54778832488,-135886.9305060214,<undefined>
6,120,168,48,24,0.0,23.443197500000014,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-139331.5676026896,122.43938130000606,,2.143023331990437,121897.39588260245,-139331.5676026896,<undefined>
7,144,168,24,24,23.443197500000014,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-46883.44625374377,121.07447209995007,,1.781666908273372,59978.803960506484,-46883.44625374377,<undefined>
