window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,359.4170788024173,0,0,match_window_initial,200.0,ok,optimal,-107921.48627133066,8.430689700006042,,maximize,-107921.48627133077,-107891.39708747872,0.0002788062404589084,0.027880624045890843,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0002788062404589084,-107921.48627133077,-107891.39708747872,<undefined>
2,24,72,48,24,359.4170788024173,537.1573870710432,0,0,match_window_initial,359.4170788024173,ok,optimal,-72338.20410724146,102.38781589997234,,maximize,-72338.20410724146,-72201.02664387668,0.0018963349319732507,0.18963349319732506,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0018963349319732507,-72338.20410724146,-72201.02664387668,<undefined>
3,48,96,48,24,537.1573870710432,506.3690937413048,0,0,match_window_initial,537.1573870710432,ok,optimal,-75493.18927380902,31.72108379995916,,maximize,-75493.18927380902,-75342.23213890026,0.0019996126320912435,0.19996126320912436,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019996126320912435,-75493.18927380902,-75342.23213890026,<undefined>
4,72,120,48,24,506.3690937413048,398.66504999122856,0,0,match_window_initial,506.3690937413048,ok,optimal,-74787.07140917446,18.023218699963763,,maximize,-74787.07140917444,-74649.0434763517,0.0018456122190902572,0.1845612219090257,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0018456122190902572,-74787.07140917444,-74649.0434763517,<undefined>
5,96,144,48,24,398.66504999122856,365.71140004708957,0,0,match_window_initial,398.66504999122856,ok,optimal,-74756.99601093007,10.869544000015594,,maximize,-74756.99601093006,-74755.56111324506,1.9194159230150105e-05,0.0019194159230150104,0.002,0.2,highspy_info,highspy_info.mip_gap,1.9194159230150105e-05,-74756.99601093006,-74755.56111324506,<undefined>
6,120,168,48,24,365.71140004708957,223.78087397745156,0,0,match_week_initial,200.0,ok,optimal,-74990.48893205113,7.490687099983916,,maximize,-74990.48893205113,-74990.02406253006,6.199046408201684e-06,0.0006199046408201684,0.002,0.2,highspy_info,highspy_info.mip_gap,6.199046408201684e-06,-74990.48893205113,-74990.02406253006,<undefined>
7,144,168,24,24,223.78087397745156,200.0,0,0,match_week_initial,200.0,ok,optimal,-37824.24651037536,3.4205421999795362,,maximize,-37824.24651037536,-37800.939330139605,0.0006161968151661254,0.06161968151661254,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0006161968151661254,-37824.24651037536,-37800.939330139605,<undefined>
