window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,0.0,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-162116.08823654227,122.30040099995676,,3.227727941296825,72771.94186565248,-162116.08823654224,<undefined>
2,24,72,48,24,0.0,99.85299722776762,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-140874.28117508744,122.26810240000486,,2.111657854876167,126724.49581240995,-140874.28117508744,<undefined>
3,48,96,48,24,99.85299722776762,0.0,0,0,match_window_initial,99.85299722776762,aborted,maxTimeLimit,-186037.4308782906,122.10996059997706,,2.5776039796198646,117924.0375161311,-186037.43087829062,<undefined>
4,72,120,48,24,0.0,0.0,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-206297.21796821844,122.54732290003449,,2.6882691941576398,122194.50469280775,-206297.2179682185,<undefined>
5,96,144,48,24,0.0,0.0,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-174370.27646325878,122.48363810003502,,2.4647399921653896,119045.2076108604,-174370.27646325884,<undefined>
6,120,168,48,24,0.0,20.39999288171466,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-190682.9801719759,122.99031369999284,,2.5377241086012794,124003.37557653437,-190682.98017197594,<undefined>
7,144,168,24,24,20.39999288171466,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-107411.08887525449,121.52020129997982,,2.9887358416232397,54009.73152250515,-107411.0888752545,<undefined>
