window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,0.0,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-125269.92130283969,121.64422349998495,,2.552975601496448,80664.44906290193,-125269.92130283974,<undefined>
2,24,72,48,24,0.0,0.0,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-115384.86007078581,121.807649400027,,1.9461403929758658,121953.21215265889,-115384.8600707858,<undefined>
3,48,96,48,24,0.0,0.0,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-138444.65060161482,121.73738900001626,,2.1161296720673377,124039.93376968679,-138444.65060161482,<undefined>
4,72,120,48,24,0.0,131.10624518734272,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-140176.0370073419,121.55454379995354,,2.1892552203825546,117868.75903916627,-140176.0370073419,<undefined>
5,96,144,48,24,131.10624518734272,36.94245999999999,0,0,match_window_initial,131.10624518734272,aborted,maxTimeLimit,-128738.3636460269,121.69798689999152,,2.058507938935372,121622.48284647688,-128738.36364602689,<undefined>
6,120,168,48,24,36.94245999999999,0.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-134510.41511212566,121.95360220002476,,2.104069163755832,121831.51158261404,-134510.41511212563,<undefined>
7,144,168,24,24,0.0,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-47108.10503134651,120.82390950003173,,1.8414593960713013,55983.81247067896,-47108.10503134651,<undefined>
