window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,212.02225733822934,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-143334.15445886308,302.48204119998263,,3.0088064453479686,71352.8945463108,-143334.15445886305,<undefined>
2,24,72,48,24,212.02225733822934,3.1992556715348215,0,0,match_window_initial,212.02225733822934,aborted,maxTimeLimit,-146729.4848241463,302.00464170001214,,2.213299901660778,120934.22625626306,-146729.4848241463,<undefined>
3,48,96,48,24,3.1992556715348215,163.07319999999999,0,0,match_window_initial,3.1992556715348215,aborted,maxTimeLimit,-206710.98532919007,302.22802730003605,,2.740846431879389,118741.65437213687,-206710.98532919007,<undefined>
4,72,120,48,24,163.07319999999999,57.09788075263041,0,0,match_window_initial,163.07319999999999,aborted,maxTimeLimit,-181827.9911997872,302.5133924999973,,2.538748556533901,118166.14899666436,-181827.99119978715,<undefined>
5,96,144,48,24,57.09788075263041,47.14030146879041,0,0,match_window_initial,57.09788075263041,aborted,maxTimeLimit,-125865.17742543832,303.204970700026,,2.0529914768592494,119531.0505274511,-125865.17742543829,<undefined>
6,120,168,48,24,47.14030146879041,44.406895,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-180619.5169793063,302.4947148000356,,2.509873559676324,119625.59104487275,-180619.51697930624,<undefined>
7,144,168,24,24,44.406895,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-49879.52783130379,301.36728519998724,,1.960181029746226,51948.04551021683,-49879.52783130381,<undefined>
