window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,351.73182244651235,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-158226.81792474628,121.77263040002435,,3.34065236388979,67599.45234319146,-158226.81792474628,<undefined>
2,24,72,48,24,351.73182244651235,394.9355450336292,0,0,match_window_initial,351.73182244651235,aborted,maxTimeLimit,-130197.47677427914,121.52328789996682,,2.2385365836208497,105122.02747669199,-130197.47677427919,<undefined>
3,48,96,48,24,394.9355450336292,447.60010888117097,0,0,match_window_initial,394.9355450336292,aborted,maxTimeLimit,-136561.13839723065,121.64949520002119,,2.3490355211820284,101228.71952072508,-136561.1383972307,<undefined>
4,72,120,48,24,447.60010888117097,77.60813922583284,0,0,match_window_initial,447.60010888117097,aborted,maxTimeLimit,-144525.60119338112,121.75270980002824,,2.3812571221008985,104633.37989784051,-144525.60119338118,<undefined>
5,96,144,48,24,77.60813922583284,163.0732,0,0,match_window_initial,77.60813922583284,aborted,maxTimeLimit,-131007.47998493633,121.55419210001128,,2.3399829751034913,97768.018265171,-131007.47998493632,<undefined>
6,120,168,48,24,163.0732,163.0732,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-150871.87414512836,121.9179879000294,,2.4732697061769966,102406.1470296755,-150871.87414512836,<undefined>
7,144,168,24,24,163.0732,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-56263.236806587,120.8524837999721,,2.1874024497456404,47383.46027384349,-56263.236806587,<undefined>
