window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,306.50780572822094,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-120168.80065036581,602.5383622000227,,2.7898496887087303,67139.04603746947,-120168.80065036581,<undefined>
2,24,72,48,24,306.50780572822094,590.1275013973,0,0,match_window_initial,306.50780572822094,aborted,maxTimeLimit,-91318.97437459163,602.5132842000457,,1.8015214630930292,113932.03872819131,-91318.97437459159,<undefined>
3,48,96,48,24,590.1275013973,118.05697610601065,0,0,match_window_initial,590.1275013973,aborted,maxTimeLimit,-127759.64770569185,602.9888941000099,,2.115513466258377,114529.90176283536,-127759.6477056919,<undefined>
4,72,120,48,24,118.05697610601065,57.09788075263037,0,0,match_window_initial,118.05697610601065,aborted,maxTimeLimit,-116344.49871083043,603.2277470999979,,2.005586991657437,115698.09442251053,-116344.49871083045,<undefined>
5,96,144,48,24,57.09788075263037,109.79510543246599,0,0,match_window_initial,57.09788075263037,aborted,maxTimeLimit,-115035.08801284673,603.1314680000069,,1.9986673302244249,115188.59637372488,-115035.08801284668,<undefined>
6,120,168,48,24,109.79510543246599,119.89785654927354,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-141184.18973954112,602.7034243000089,,2.2023105834719336,117427.38663402683,-141184.18973954112,<undefined>
7,144,168,24,24,119.89785654927354,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-43271.37828228242,601.7955059999949,,1.8555910342129363,50574.83838886651,-43271.378282282414,<undefined>
