window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,212.02225733822934,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-143334.15445886308,123.26236510003218,,3.0088064453479686,71352.8945463108,-143334.15445886305,<undefined>
2,24,72,48,24,212.02225733822934,3.1992556715348215,0,0,match_window_initial,212.02225733822934,aborted,maxTimeLimit,-146729.4848241463,122.79986490000738,,2.213299901660778,120934.22625626306,-146729.4848241463,<undefined>
3,48,96,48,24,3.1992556715348215,163.07319999999999,0,0,match_window_initial,3.1992556715348215,aborted,maxTimeLimit,-206710.98532919007,122.75704349996522,,2.7403129716036068,118778.05239750458,-206710.98532919007,<undefined>
4,72,120,48,24,163.07319999999999,57.09788075263041,0,0,match_window_initial,163.07319999999999,aborted,maxTimeLimit,-181827.9911997872,122.72076850000303,,2.538748556533901,118166.14899666436,-181827.99119978715,<undefined>
5,96,144,48,24,57.09788075263041,27.136560000000017,0,0,match_window_initial,57.09788075263041,aborted,maxTimeLimit,-188283.48270046304,122.9243761000107,,2.5751823480050726,119531.22947252374,-188283.48270046306,<undefined>
6,120,168,48,24,27.136560000000017,0.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-199070.1555941723,122.74352209997596,,2.6529579186931245,120432.68212875183,-199070.15559417228,<undefined>
7,144,168,24,24,0.0,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-69011.30822591174,121.72995540004922,,2.201478830064357,57438.638533660385,-69011.30822591177,<undefined>
