case_group,level,scenario_path,config_path,tag,method,formulation,objective,uc_minus_mpc_objective,mip_gap_percent,runtime_s,validation_pass,export_max_mw,export_cap_mw,soc_min_mwh,soc_max_mwh,terminal_soc_gap_mwh,export_revenue,import_cost,chp_cost,boiler_cost,startup_cost,storage_cycling_cost,curtailment_penalty_cost,dump_penalty_cost,under_penalty_cost,notes
outlier_robustness,raw_retained_944p9_present,data/scenarios/week_2023_dec01,configs/experiments/resubmission_2026/outlier_robustness/raw_hull_uc_168h_gap0p002.yaml,resub_2026_outlier_raw_hull_uc_168h_gap0p002,UC,convex_hull,-295204.134355,2735.199514,0.000537,56.630889,true,60,60,0,800,0,129419.489042,8400,377640.933510,33525.344648,5000,57.345239,0,0,0,Raw retained full-week scenario includes 944.910244 MW heat outlier.
outlier_robustness,raw_retained_944p9_present,data/scenarios/week_2023_dec01,configs/experiments/resubmission_2026/outlier_robustness/raw_hull_mpc_168h_gap0p002.yaml,resub_2026_outlier_raw_hull_mpc_168h_gap0p002,MPC,convex_hull,-297939.333870,2735.199514,0.199961,182.343581,true,60,60,116.551702,800,0,131308.719994,8250.494039,382411.221040,33525.344648,5000,60.994136,0,0.000000,0,Raw retained full-week scenario includes 944.910244 MW heat outlier.
outlier_robustness,winsor_p99_944p9_absent,data/scenarios/week_2023_dec01_winsor_p99_fw,configs/experiments/resubmission_2026/final_main/main_winsor_p99_hull_uc_168h_gap0p002.yaml,resub_2026_final_main_winsor_p99_hull_uc_168h_gap0p002,UC,convex_hull,-258690.055995,3524.189651,0.009086,275.167962,true,39.866863,60,0,800,0,127386.275076,12528.326190,368491.606103,0,5000,56.398779,0,0,0,Winsorized p99 main scenario; outlier absent.
outlier_robustness,winsor_p99_944p9_absent,data/scenarios/week_2023_dec01_winsor_p99_fw,configs/experiments/resubmission_2026/final_main/main_winsor_p99_hull_mpc_168h_gap0p002.yaml,resub_2026_final_main_winsor_p99_hull_mpc_168h_gap0p002,MPC,convex_hull,-262214.245647,3524.189651,0.199867,478.227125,true,39.866863,60,146.613316,800,0,128154.573342,11643.441344,373668.828968,0,5000,56.548677,0,0.000000,0,Winsorized p99 main scenario; outlier absent.
