case_group,level,scenario_path,config_path,tag,method,formulation,objective,uc_minus_mpc_objective,mip_gap_percent,runtime_s,validation_pass,export_max_mw,export_cap_mw,soc_min_mwh,soc_max_mwh,terminal_soc_gap_mwh,export_revenue,import_cost,chp_cost,boiler_cost,startup_cost,storage_cycling_cost,curtailment_penalty_cost,dump_penalty_cost,under_penalty_cost,notes
main_case,winsor_p99_168h,data/scenarios/week_2023_dec01_winsor_p99_fw,configs/experiments/resubmission_2026/final_main/main_winsor_p99_hull_uc_168h_gap0p002.yaml,resub_2026_final_main_winsor_p99_hull_uc_168h_gap0p002,UC,convex_hull,-258690.055995,3524.189651,0.009086,275.167962,true,39.866863,60,0,800,0,127386.275076,12528.326190,368491.606103,0,5000,56.398779,0,0,0,Primary winsorized p99 full-week case; UC one 900 s solve.
main_case,winsor_p99_168h,data/scenarios/week_2023_dec01_winsor_p99_fw,configs/experiments/resubmission_2026/final_main/main_winsor_p99_hull_mpc_168h_gap0p002.yaml,resub_2026_final_main_winsor_p99_hull_mpc_168h_gap0p002,MPC,convex_hull,-262214.245647,3524.189651,0.199867,478.227125,true,39.866863,60,146.613316,800,0,128154.573342,11643.441344,373668.828968,0,5000,56.548677,0,0.000000,0,"Primary winsorized p99 full-week case; MPC seven rolling windows, 300 s/window."
