scenario,method,tag,system_cost_realized,profit_objective_realized,boiler_share_pct,dump_share_pct,chp_curtailment_ratio_pct,grid_export_mwh,grid_import_mwh,solver_gap,wallclock_s,validation_pass,batch_name,net_export_mwh
week_2023_dec01,rolling_horizon_mpc,mpc_cdump05_fw,468681.3869961893,-468681.3869961893,11.15284842560532,45.26234612503933,5.825104198177,5443.826412122109,712.1978191993059,2.99051069334654,851.205158500059,True,cdump_5,4731.628592922803
week_2023_dec01,rolling_horizon_mpc,mpc_cdump20_fw,555460.4918288911,-555460.4918288911,35.83315844359028,2.428018643949605,3.017059385126651,1800.7465131617294,1259.6707671074637,2.830809867060029,857.196936399967,True,cdump_20,541.0757460542657
week_2023_dec01,rolling_horizon_mpc,mpc_cdump50_fw,591475.6259047837,-591475.6259047837,37.53153280556868,2.756591268322204,4.350479268991784,1779.0296346638029,1408.6395903833222,3.0088064453479686,857.4361625000602,True,cdump_50,370.39004428048065
week_2023_dec01,rolling_horizon_mpc,mpc_cdump100_fw,624896.6963007619,-624896.6963007619,44.98342353647981,0.9670434657287246,4.089357853589005,1269.4969486445884,1485.6220942637212,3.227727941296825,856.2199399999809,True,cdump_100,-216.1251456191328
