week_start,week_end,hours,mean_mw,std_mw,p50_mw,p90_mw,p95_mw,p99_mw,max_mw,max_over_p99,n_substations,common_coverage_start,common_coverage_end
2021-11-08,2021-11-14 23:00:00,168,1.0591030952380953,0.36523212491046014,1.2329900000000003,1.40929,1.49979,1.8138400000000008,1.86299,1.0270972081330212,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-11-15,2021-11-21 23:00:00,168,0.7809607142857143,0.505010922481564,0.9235,1.35679,1.4269965,1.7842200000000004,1.8199999999999998,1.0200535808364437,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-11-22,2021-11-28 23:00:00,168,0.6016369642857143,0.46308644177610714,0.836665,1.0243000000000002,1.2194,1.5885100000000005,1.714,1.0789985583974917,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-11-29,2021-12-05 23:00:00,168,0.7052083333333333,0.5057539616181571,0.9375,1.1367000000000003,1.2360500000000005,1.6443200000000013,1.725,1.0490658752554238,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-12-06,2021-12-12 23:00:00,168,0.7812916666666667,0.542144725166439,1.069,1.2322000000000002,1.2870000000000001,1.7224800000000007,1.8770000000000002,1.0897078630811385,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-12-13,2021-12-19 23:00:00,168,0.8810236904761904,0.5452554581314107,1.178,1.3143,1.35595,1.763090000000001,1.968,1.1162220873579902,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-12-20,2021-12-26 23:00:00,168,0.8930357142857142,0.5843165181366576,1.0745,1.4956,1.5724500000000001,1.8331500000000007,1.919,1.0468319559228647,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2021-12-27,2022-01-02 23:00:00,168,0.7896666666666666,0.49409506828943,1.0090000000000001,1.1885999999999999,1.3370500000000007,1.658590000000003,1.8670000000000002,1.1256549237605418,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-01-03,2022-01-09 23:00:00,168,0.7241130952380953,0.5386257803494799,1.0030000000000001,1.2163000000000002,1.3538500000000004,1.701130000000002,1.935,1.1374792049990288,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-01-10,2022-01-16 23:00:00,168,1.020797619047619,0.601911174030606,1.3025,1.4988000000000001,1.5502000000000002,1.9245300000000007,2.112,1.0974107964022382,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-01-17,2022-01-23 23:00:00,168,0.9027142857142858,0.6043141147778429,1.202,1.4032,1.691,1.9174900000000008,1.98,1.0325999092563711,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-01-24,2022-01-30 23:00:00,168,1.0315535714285713,0.6028409700952152,1.2519999999999998,1.6098999999999999,1.69455,1.8602400000000017,1.9620000000000002,1.0547026190169002,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-01-31,2022-02-06 23:00:00,168,0.8606249999999999,0.5980748448892377,1.158,1.3635000000000002,1.5233,2.028110000000001,2.098,1.0344606554871278,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-02-07,2022-02-13 23:00:00,168,0.7539880952380952,0.5750520265085672,1.0275,1.3158999999999998,1.4725000000000004,1.9352600000000004,2.07,1.0696237198102578,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-02-14,2022-02-20 23:00:00,168,0.5050535714285713,0.5649758344908864,0.0335,1.1851,1.4221500000000005,1.715100000000001,1.7910000000000001,1.0442539793598036,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-02-21,2022-02-27 23:00:00,168,0.6345952380952381,0.5169583919668422,0.924,1.1150000000000002,1.2523500000000007,1.6811700000000018,1.8690000000000002,1.1117257624154595,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-02-28,2022-03-06 23:00:00,168,0.7393809523809525,0.5275570699157965,1.0095,1.1605999999999999,1.2458500000000001,1.71563,1.8820000000000001,1.0969731235755962,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-03-07,2022-03-13 23:00:00,168,0.8802386904761903,0.5266814597220523,1.1425,1.3153,1.4593,1.7352600000000002,1.7780000000000002,1.0246303147655107,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-03-14,2022-03-20 23:00:00,168,0.6934583333333334,0.5792338623660636,0.9780000000000001,1.2528000000000004,1.46285,1.9211500000000008,2.113,1.099862061785909,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-03-21,2022-03-27 23:00:00,168,0.47192261904761895,0.5777667081203176,0.0,1.2593,1.5499500000000002,1.808370000000001,2.064,1.1413593457091187,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-11-07,2022-11-13 23:00:00,168,0.4042801785714286,0.450732839106907,0.271685,0.9387000000000002,1.2609000000000001,1.4581300000000006,1.548,1.0616337363609551,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-11-14,2022-11-20 23:00:00,168,0.4815357142857143,0.42297749704943416,0.6839999999999999,0.8851000000000001,1.0599,1.3594700000000006,1.8980000000000001,1.3961323162703108,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-11-21,2022-11-27 23:00:00,168,0.6333333333333334,0.43623518417557566,0.8525,0.9998000000000001,1.1025000000000003,1.4423300000000012,1.5190000000000001,1.0531570445043776,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-11-28,2022-12-04 23:00:00,168,0.6712678571428572,0.4605733418822143,0.9165000000000001,1.0235,1.06595,1.5465900000000004,1.582,1.0228955314595334,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-12-05,2022-12-11 23:00:00,168,0.534797619047619,0.4595749532050008,0.7215,0.9673,1.2646500000000005,1.5349600000000003,1.551,1.0104497837077184,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-12-12,2022-12-18 23:00:00,168,0.6532029761904762,0.44273618927608993,0.8435,1.042,1.1379500000000002,1.472160000000002,1.6139999999999999,1.0963482230192356,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-12-19,2022-12-25 23:00:00,168,0.7244464285714285,0.49363022066031337,0.9715,1.1471000000000002,1.26745,1.559710000000001,1.669,1.0700707182745504,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2022-12-26,2023-01-01 23:00:00,168,0.6429345238095239,0.4593618262105975,0.8605,1.0546,1.1923000000000004,1.4573500000000013,1.673,1.1479740625107206,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-01-02,2023-01-08 23:00:00,168,0.680797619047619,0.45274737791467856,0.906,1.0481,1.21865,1.450730000000001,1.638,1.1290867356434338,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-01-09,2023-01-15 23:00:00,168,0.7381488095238096,0.4545720991569061,0.9605000000000001,1.093,1.1609,1.4688600000000018,1.8000000000000003,1.225440137249294,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-01-16,2023-01-22 23:00:00,168,0.6020654761904761,0.44014153756924695,0.816,1.0338,1.0743500000000001,1.4216300000000013,1.6390000000000002,1.1529019505778568,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-01-23,2023-01-29 23:00:00,168,0.7831666666666667,0.5384349859797227,1.02,1.3042,1.4191500000000001,1.7690000000000012,1.843,1.0418315432447702,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-01-30,2023-02-05 23:00:00,168,0.8334761904761905,0.5625285543268951,1.05,1.3899000000000001,1.455175,1.8071500000000007,1.844,1.0203912237501034,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-02-06,2023-02-12 23:00:00,168,1.0807857142857142,0.5186280796813971,1.2389999999999999,1.5251000000000001,1.6740000000000004,1.85828,2.041,1.0983274856318745,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-02-13,2023-02-19 23:00:00,168,0.7032797619047619,0.5665162747798332,0.9135,1.2792,1.4271500000000001,1.730450000000001,2.016,1.1650148805224068,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-02-20,2023-02-26 23:00:00,168,0.540047619047619,0.5282212492967476,0.6065,1.1491000000000002,1.33275,1.6596200000000003,1.704,1.026741061206782,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-02-27,2023-03-05 23:00:00,168,0.6873095238095238,0.47865425130280564,0.9275,1.0735000000000001,1.1369500000000001,1.5965900000000004,1.744,1.0923280241013658,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-03-06,2023-03-12 23:00:00,168,0.511047619047619,0.49140472614259967,0.5645,1.0825,1.2663499999999999,1.53233,1.7,1.109421599785947,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-03-13,2023-03-19 23:00:00,168,0.5668928571428571,0.5226117992229746,0.8085,1.1241,1.2772000000000006,1.7373,1.8890000000000002,1.0873194036723652,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-03-20,2023-03-26 23:00:00,168,0.31115476190476193,0.473973489665715,0.0,0.9909000000000002,1.3480500000000002,1.5339500000000001,1.5989999999999998,1.0424068581114114,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-11-06,2023-11-12 23:00:00,168,0.42646428571428563,0.4694980715622592,0.1755,0.9502000000000002,1.2799500000000004,1.5788800000000005,1.6340000000000001,1.0349108228617752,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-11-13,2023-11-19 23:00:00,168,0.5730238095238095,0.4709883725233079,0.8054999999999999,1.0511000000000001,1.1636500000000003,1.4875100000000006,1.645,1.1058749184879426,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-11-20,2023-11-26 23:00:00,168,0.7107916666666666,0.4990039570551981,0.8865000000000001,1.1659,1.3171500000000005,1.59698,1.7610000000000001,1.1027063582511991,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-11-27,2023-12-03 23:00:00,168,0.6033630952380952,0.8821041566401602,0.6205,1.1655000000000002,1.2787499999999998,1.8225700000000005,9.589,5.261251968374327,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-12-04,2023-12-10 23:00:00,168,0.7711428571428571,0.5289485671922118,1.0459999999999998,1.2532,1.3452500000000003,1.6291900000000006,1.799,1.1042297092420155,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-12-11,2023-12-17 23:00:00,168,0.6920714285714284,0.5122621465643553,0.91,1.2012,1.2698500000000001,1.5128500000000005,1.715,1.1336219717751261,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-12-18,2023-12-24 23:00:00,168,0.7773928571428572,0.54235911090999,1.0645,1.2212999999999998,1.391,1.7749600000000003,1.934,1.0896020192004325,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2023-12-25,2023-12-31 23:00:00,168,0.6947559523809524,0.5041121320016368,0.9375,1.2069999999999999,1.2859500000000001,1.6663300000000014,1.763,1.0580137187711909,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-01-01,2024-01-07 23:00:00,168,0.66425,0.39997631998359484,0.8069999999999999,1.0386000000000002,1.1015000000000001,1.2947400000000022,1.5139999999999998,1.1693467414307097,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-01-08,2024-01-14 23:00:00,168,1.070452380952381,0.3306645870984641,1.1179999999999999,1.3265,1.45585,1.67933,1.7570000000000001,1.046250588032132,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-01-15,2024-01-21 23:00:00,168,0.80375,0.5344047172188081,0.964,1.3208,1.40065,1.6415800000000016,1.871,1.1397556013109311,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-01-22,2024-01-28 23:00:00,168,0.8422738095238096,0.5090616566452829,1.0215,1.2875,1.4921000000000002,1.63431,1.662,1.0169429300438717,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-01-29,2024-02-04 23:00:00,168,0.7980773809523809,0.5477971687219707,1.0194999999999999,1.3086,1.40765,1.7329600000000003,2.004,1.1564029175514725,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-02-05,2024-02-11 23:00:00,168,0.4724940476190477,0.5267532854896047,0.1075,1.0939000000000003,1.3679000000000001,1.6115900000000003,1.7670000000000003,1.096432715516974,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-02-12,2024-02-18 23:00:00,168,0.6570725000000001,0.5004701278592603,0.856,1.155,1.2642500000000003,1.8755900000000005,1.9809999999999999,1.0562009820909684,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-02-19,2024-02-25 23:00:00,168,0.5564702380952381,0.5071312955240914,0.8125,1.1257000000000004,1.2446,1.6349000000000005,1.6580000000000001,1.0141293045446202,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-02-26,2024-03-03 23:00:00,168,0.37958928571428574,0.4697114277526091,0.0,0.9797000000000002,1.2192500000000002,1.4693100000000001,1.484,1.0099978901661324,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-03-04,2024-03-10 23:00:00,168,0.5215773809523809,0.48457004134033005,0.728,1.0138,1.2020000000000004,1.5092300000000016,1.663,1.1018863923987716,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-03-11,2024-03-17 23:00:00,168,0.5137559523809524,0.4735039661047731,0.745,0.999,1.2442500000000003,1.469440000000001,1.578,1.0738784843205569,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-03-18,2024-03-24 23:00:00,168,0.507125,0.49301872836420435,0.7024999999999999,1.0311000000000001,1.1981000000000002,1.5791900000000005,1.6500000000000001,1.0448394430055912,5,2021-11-01 07:00:00,2024-03-31 23:00:00
2024-03-25,2024-03-31 23:00:00,168,0.2683035714285714,0.4306142036303462,0.0,0.9431000000000002,1.0753,1.403110000000002,1.59,1.1331969695889827,5,2021-11-01 07:00:00,2024-03-31 23:00:00
