scenario,method,tag,system_cost_realized,profit_objective_realized,boiler_share_pct,dump_share_pct,chp_curtailment_ratio_pct,grid_export_mwh,grid_import_mwh,solver_gap,wallclock_s,validation_pass,batch_name,net_export_mwh
week_2023_dec01,full_horizon_uc,uc_paper_retained_fw,637326.874371972,-637326.874371972,49.00335461423146,1.8496317051768836,1.9792142844126923,981.552116589706,1411.4291658510178,2.605125727326904,902.4660817999976,True,retained_uc,-429.87704926131187
week_2023_dec01,rolling_horizon_mpc,mpc_paper_retained_fw,591475.6259047837,-591475.6259047837,37.53153280556868,2.756591268322204,4.350479268991784,1779.0296346638029,1408.6395903833222,3.0088064453479686,858.9378956000437,True,retained_mpc,370.39004428048065
week_2023_dec01_winsor_p99_fw,full_horizon_uc,uc_paper_winsor_fw,729799.0290803704,-729799.0290803704,54.04099512998433,14.145636823203589,3.003532418427845,1414.6254010779576,1690.495578201439,2.725168824370392,906.4404701999738,True,winsor_uc,-275.8701771234814
week_2023_dec01_winsor_p99_fw,rolling_horizon_mpc,mpc_paper_winsor_fw,587593.3756489388,-587593.3756489388,39.66557738130602,3.933449856685265,5.196325202137912,1575.5186835124623,1566.163796990248,2.784019229914992,852.3471950000385,True,winsor_mpc,9.354886522214201
