Strategy,Validation pass,Heat-balance residual abs max,Electric-balance residual abs max,Hours at export cap,Achieved relative gap,Mean window relative gap,Runtime (s)
Full-horizon UC,Yes,2.842170943040401e-14,7.105427357601002e-15,13,2.725168824370392,,906.4404701999738
Rolling MPC,Yes,1.4210854715202004e-14,3.552713678800501e-15,13,2.7840192299149917,2.5057613504577647,852.3471950000385
