window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,161.5282780105855,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-223543.9005172507,122.1157208000077,,3.206870377941861,101294.53127452325,-223543.90051725073,<undefined>
2,24,72,48,24,161.5282780105855,0.0,0,0,match_window_initial,161.5282780105855,aborted,maxTimeLimit,-207465.63889844317,122.0884729999816,,2.7821205903204262,116415.03949019565,-207465.6388984432,<undefined>
3,48,96,48,24,0.0,0.0,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-173528.52053857286,121.96587379998527,,2.590981880430918,109070.0797243351,-173528.52053857283,<undefined>
4,72,120,48,24,0.0,36.94245999999999,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-146456.19182330885,121.9716766999918,,2.15770153537847,126506.0011995494,-146456.19182330888,<undefined>
5,96,144,48,24,36.94245999999999,0.0,0,0,match_window_initial,36.94245999999999,aborted,maxTimeLimit,-128046.63539223422,121.95386940002209,,2.1594121729023166,110440.99620905267,-128046.63539223427,<undefined>
6,120,168,48,24,0.0,70.50173577427331,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-102605.5454531021,122.83340240002144,,1.8214487502642471,124908.03037936997,-102605.54545310207,<undefined>
7,144,168,24,24,70.50173577427331,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-56167.24176804082,121.58834239997668,,2.0568623687421024,53145.2755148167,-56167.24176804082,<undefined>
