month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Feb15,4,35,6017.412296889725,9600.350994063521,9556.184,6843.008,1356.588,0.1419591753360965,-19.4,6993.436571445238,11157.527925300623,6843.008
Feb15,5,36,6842.588830097432,7139.300965011383,9677.8,6996.98,1340.41,0.13850358552563602,-16.02,7952.456738339235,8297.295581536227,6996.98
Feb15,6,37,7940.33189954269,4981.8619151364765,9770.612,7110.4079999999985,1330.102,0.13613292596205848,-13.65,9228.253733648513,5789.919917771613,7110.4079999999985
Feb15,7,38,7228.617103124434,4693.87184341706,10184.608,7524.380000000001,1330.114,0.13060041191570654,-6.19,8401.098797251216,5455.217856419306,7524.380000000001
Feb15,8,39,6987.8110874120175,4809.072524705658,10298.192,7640.651999999998,1328.77,0.12902944516862766,-3.88,8121.2340457902465,5589.1040882129155,7640.651999999998
Feb15,9,40,7177.752400892489,5081.721466998924,10298.32,7633.464,1332.428,0.12938304500151482,-6.33,8341.98384031725,5905.97668894615,7633.464
Feb15,10,41,6611.7629927705075,4694.863959727281,10388.508,7743.337999999999,1322.585,0.1273123147231537,-6.0,7684.1909501978835,5456.370893995046,7743.337999999999
Feb15,11,42,5661.078461716324,4808.170936574125,10140.232,7579.732,1280.25,0.12625450778640962,-1.25,6579.305388206711,5588.056262486448,7579.732
Feb15,12,43,6689.668291417725,4772.810449777762,10223.32,7650.957999999999,1286.181,0.12580854360423033,-6.3,7774.73248828568,5546.960304731715,7650.957999999999
Feb15,13,44,7484.5597465127075,5428.5275972047075,10157.18,7593.522000000001,1281.829,0.12619929941184463,-12.8,8698.555337397069,6309.0347734713105,7593.522000000001
Feb15,14,45,8207.2301386043,5809.760135805824,10122.596,7578.6799999999985,1271.958,0.12565531608690103,-8.55,9538.442867085916,6752.103229833528,7578.6799999999985
Feb15,15,46,7652.359027938002,5396.127326040678,10264.524,7706.609999999999,1278.957,0.12459973789334997,-11.63,8893.571662269545,6271.379178324475,7706.609999999999
Feb15,16,47,7133.942935213815,4937.820659687046,10262.948,7707.121999999999,1277.913,0.124517146535284,-4.57,8291.068479305495,5738.735170688285,7707.121999999999
Feb15,17,48,7503.912063106196,5331.4038800818835,10113.0,7535.304,1288.848,0.12744467517057254,-8.71,8721.04659974202,6196.1575894311645,7535.304
Feb15,18,49,8525.645815103218,6566.488078451134,9746.484,7046.23,1350.127,0.13852451817496442,-19.21,9908.505566312959,7631.572444775908,7046.23
Feb15,19,50,8127.107485440197,7698.066084590685,9482.768,6788.853999999999,1346.957,0.1420425976887761,-19.88,9445.324319578596,8946.692403511293,6788.853999999999
Feb15,20,51,6776.291356797676,7742.71594714086,9857.048,7266.524,1295.262,0.13140465583610833,-9.46,7875.405814870258,8998.584473767107,7266.524
Feb15,21,52,7046.2551854945,6530.247496948448,10010.432,7496.826000000001,1256.803,0.12554932694213397,-9.05,8189.157776581707,7589.453640953486,7496.826000000001
Feb15,22,53,6961.652701069764,6414.704779249997,10077.876,7549.714,1264.081,0.12543129127605857,-8.63,8090.832769183278,7455.169894444346,7549.714
Feb15,23,54,7103.9254603148875,5817.196111464198,10157.62,7643.544,1257.038,0.1237532020296093,-10.02,8256.182169977961,6760.74532074369,7643.544
Feb15,24,55,6952.523110441752,4500.378645007998,10130.888,7648.442000000001,1241.223,0.12251867753349951,-9.55,8080.222358955403,5230.340061228295,7648.442000000001
Feb15,25,56,6486.937217137889,4277.472805001676,7859.384,5553.505999999999,1152.939,0.14669584791887,-6.28,7539.118433757654,4971.278893972947,5553.505999999999
