month,day,t (day N),DemHeat,DemSteam,GenE,DemE (F - F*OwnUse%),OwnUse,Temp.Out(Deg.C),Heat load (MW),Steam load (MW),Electricity load (MW)
Jan19,1,1,6372.804672,2893.37087645905,6017.25078260868,4916.093889391292,0.183,-20,308.60306624159995,140.1114846925295,204.8372453913038
Jan19,2,2,6247.816632,3002.2433990261643,6449.565739130433,5269.295208869564,0.183,-23,302.5505204046,145.38363659784198,219.55396703623182
Jan19,3,3,5994.311232,3300.262110552925,6263.262260869567,5117.0852671304365,0.183,-26,290.27452140959997,159.81519270352538,213.21188613043486
Jan19,4,4,5909.638296,3561.8610148542184,6116.2848695652165,4997.004738434782,0.183,-25,286.1742344838,172.4831196443155,208.2085307681159
Jan19,5,5,5999.450208,3493.7239868704837,6167.025217391305,5038.4596026086965,0.183,-19,290.5233763224,169.18358406420316,209.93581677536235
Jan19,6,6,5952.764064,3344.174532045939,5996.719391304349,4899.319742695653,0.183,-16,288.26259979919996,161.9416517143246,204.1383226123189
Jan19,7,7,6029.19468,3194.265165854788,6426.621043478261,5250.549392521739,0.183,-18,291.96375237899997,154.6822906565181,218.77289135507246
Jan19,8,8,6136.1424480000005,3043.9984542163256,6772.22704347826,5532.909494521738,0.183,-16,297.1426980444,147.40562514542555,230.53789560507244
Jan19,9,9,6212.084208,2811.0700267132597,6597.764260869566,5390.373401130435,0.183,-12,300.8201777724,136.1260660435896,224.59889171376813
Jan19,10,10,6122.102616,1613.9366899311703,6433.509826086957,5256.177527913044,0.183,-15,296.46281917979996,78.15488420991691,219.00739699637685
Jan19,11,11,5880.772968,1410.5904241618723,6547.594869565217,5349.385008434782,0.183,-24,284.7764309754,68.30784129003867,222.89104201811594
Jan19,12,12,5766.997944000001,1349.223581458514,7261.559391304346,5932.69402269565,0.183,-21,279.2668754382,65.33615193212853,247.19558427898542
Jan19,13,13,6099.456912,1481.5130592407163,7431.032086956522,6071.153215043479,0.183,-19,295.36620096359997,71.74226989373169,252.9647172934783
Jan19,14,14,6644.671968000001,2469.546980768011,7077.893565217393,5782.63904278261,0.183,-14,321.7682400504,119.58781254369092,240.94329344927542
