window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,408.3118443169995,0,0,match_window_initial,200.0,ok,optimal,-71379.76520646835,14.776457100000698,,maximize,-71379.76520646835,-71296.75836967485,0.0011628903030628053,0.11628903030628053,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0011628903030628053,-71379.76520646835,-71296.75836967485,<undefined>
2,24,72,48,24,408.3118443169995,494.20140551065833,0,0,match_window_initial,408.3118443169995,ok,optimal,-94070.47709026198,232.5944928000099,,maximize,-94070.477090262,-94023.84962070711,0.0004956652820006266,0.04956652820006266,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0004956652820006266,-94070.477090262,-94023.84962070711,<undefined>
3,48,96,48,24,494.20140551065833,241.10743738638982,0,0,match_window_initial,494.20140551065833,ok,optimal,-130299.43239300251,11.508818199974485,,maximize,-130299.43239300253,-130235.45536278673,0.0004910000683873679,0.04910000683873679,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0004910000683873679,-130299.43239300253,-130235.45536278673,<undefined>
4,72,120,48,24,241.10743738638982,80.1407791861766,0,0,match_window_initial,241.10743738638982,ok,optimal,-132848.7345865653,10.147244499996305,,maximize,-132848.7345865653,-132800.33341015273,0.00036433298791432715,0.036433298791432714,0.002,0.2,highspy_info,highspy_info.mip_gap,0.00036433298791432715,-132848.7345865653,-132800.33341015273,<undefined>
5,96,144,48,24,80.1407791861766,45.306324688339885,0,0,match_window_initial,80.1407791861766,ok,optimal,-126656.63358938109,9.164771599986125,,maximize,-126656.63358938113,-126595.70139921948,0.00048108171230249743,0.04810817123024974,0.002,0.2,highspy_info,highspy_info.mip_gap,0.00048108171230249743,-126656.63358938113,-126595.70139921948,<undefined>
6,120,168,48,24,45.306324688339885,45.30632468833991,0,0,match_week_initial,200.0,ok,optimal,-133746.24325786505,8.95449259999441,,maximize,-133746.2432578651,-133639.46370612486,0.0007983742132806538,0.07983742132806539,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0007983742132806538,-133746.2432578651,-133639.46370612486,<undefined>
7,144,168,24,24,45.30632468833991,200.0,0,0,match_week_initial,200.0,ok,optimal,-70997.4560988029,4.985856999992393,,maximize,-70997.45609880291,-70957.19851123012,0.0005670285920775593,0.05670285920775593,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0005670285920775593,-70997.45609880291,-70957.19851123012,<undefined>
