window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,408.3118443185364,0,0,match_window_initial,200.0,ok,optimal,-71385.90439860488,56.54487580002751,,maximize,-71385.9043986049,-71275.57398715189,0.0015455489761247595,0.15455489761247596,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0015455489761247595,-71385.9043986049,-71275.57398715189,<undefined>
2,24,72,48,24,408.3118443185364,490.77004705303506,0,0,match_window_initial,408.3118443185364,ok,optimal,-72947.55552467059,208.5196628999547,,maximize,-72947.5555246706,-72801.66111700544,0.0019999903576731486,0.19999903576731487,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019999903576731486,-72947.5555246706,-72801.66111700544,<undefined>
3,48,96,48,24,490.77004705303506,515.8650131420407,0,0,match_window_initial,490.77004705303506,ok,optimal,-74822.80259712439,12.024012899957597,,maximize,-74822.80259712439,-74788.80820195554,0.0004543320216416738,0.04543320216416738,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0004543320216416738,-74822.80259712439,-74788.80820195554,<undefined>
4,72,120,48,24,515.8650131420407,407.93566908086194,0,0,match_window_initial,515.8650131420407,ok,optimal,-74766.20679253394,10.886326999985613,,maximize,-74766.2067925339,-74766.1833355401,3.137379146295005e-07,3.137379146295005e-05,0.002,0.2,highspy_info,highspy_info.mip_gap,3.137379146295005e-07,-74766.2067925339,-74766.1833355401,<undefined>
5,96,144,48,24,407.93566908086194,346.89180337304964,0,0,match_window_initial,407.93566908086194,ok,optimal,-74758.24616017165,9.069546299986541,,maximize,-74758.24616017165,-74735.46589234321,0.00030471913131332437,0.030471913131332438,0.002,0.2,highspy_info,highspy_info.mip_gap,0.00030471913131332437,-74758.24616017165,-74735.46589234321,<undefined>
6,120,168,48,24,346.89180337304964,261.6145084921574,0,0,match_week_initial,200.0,ok,optimal,-75123.87868876441,9.794371999974828,,maximize,-75123.87868876444,-75064.68446049439,0.0007879548993374936,0.07879548993374935,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0007879548993374936,-75123.87868876444,-75064.68446049439,<undefined>
7,144,168,24,24,261.6145084921574,200.0,0,0,match_week_initial,200.0,ok,optimal,-37683.134053236245,3.6578158999909647,,maximize,-37683.13405323624,-37648.13775919847,0.0009286991360200003,0.09286991360200003,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0009286991360200003,-37683.13405323624,-37648.13775919847,<undefined>
