window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,86.07816977857468,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-91267.96370389019,120.62577020004392,,1.8604403480163947,106071.22726670545,-91267.96370389014,<undefined>
2,24,72,48,24,86.07816977857468,53.470269061732694,0,0,match_window_initial,86.07816977857468,aborted,maxTimeLimit,-148171.75250860595,120.88510809995933,,2.2642500404907135,117201.30335221792,-148171.75250860595,<undefined>
3,48,96,48,24,53.470269061732694,31.303072402152008,0,0,match_window_initial,53.470269061732694,aborted,maxTimeLimit,-203708.62372953005,121.66153449995909,,2.7223093121548088,118276.44563720493,-203708.62372953005,<undefined>
4,72,120,48,24,31.303072402152008,0.0,0,0,match_window_initial,31.303072402152008,aborted,maxTimeLimit,-215463.36849728573,122.74003169999924,,2.7840192299149917,120774.12893556787,-215463.36849728573,<undefined>
5,96,144,48,24,0.0,163.0732,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-188911.17230481637,122.61434359999839,,2.5563157773129666,121383.57463096474,-188911.17230481634,<undefined>
6,120,168,48,24,163.0732,90.40422024251465,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-204157.87534502867,122.43073970003752,,2.7366045065621685,117561.52570926203,-204157.87534502865,<undefined>
7,144,168,24,24,90.40422024251465,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-89901.02182503234,121.389667200041,,2.6163902387523104,55618.38946418462,-89901.02182503235,<undefined>
