window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,455.9060944197954,0,0,match_window_initial,200.0,ok,optimal,-71362.39749008186,118.20355390000623,,maximize,-71362.39749008186,-71295.5214382598,0.0009371329183740798,0.09371329183740798,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0009371329183740798,-71362.39749008186,-71295.5214382598,<undefined>
2,24,72,48,24,455.9060944197954,618.9133694185163,0,0,match_window_initial,455.9060944197954,ok,optimal,-73415.61324301816,192.31126390001737,,maximize,-73415.61324301818,-73268.87936121195,0.001998674060250822,0.19986740602508218,0.002,0.2,highspy_info,highspy_info.mip_gap,0.001998674060250822,-73415.61324301818,-73268.87936121195,<undefined>
3,48,96,48,24,618.9133694185163,513.0914993733145,0,0,match_window_initial,618.9133694185163,ok,optimal,-76388.40589278241,57.98603319999529,,maximize,-76388.40589278241,-76238.46544592331,0.0019628691698259653,0.19628691698259654,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019628691698259653,-76388.40589278241,-76238.46544592331,<undefined>
4,72,120,48,24,513.0914993733145,405.2279597370227,0,0,match_window_initial,513.0914993733145,ok,optimal,-74911.84123082626,52.48313780000899,,maximize,-74911.84123082628,-74762.13190623718,0.0019984734339635415,0.19984734339635415,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019984734339635415,-74911.84123082628,-74762.13190623718,<undefined>
5,96,144,48,24,405.2279597370227,361.81053971507947,0,0,match_window_initial,405.2279597370227,ok,optimal,-74736.41556757854,21.35165629995754,,maximize,-74736.41556757854,-74735.19179532395,1.637451094361484e-05,0.001637451094361484,0.002,0.2,highspy_info,highspy_info.mip_gap,1.637451094361484e-05,-74736.41556757854,-74735.19179532395,<undefined>
6,120,168,48,24,361.81053971507947,220.01965059104728,0,0,match_week_initial,200.0,ok,optimal,-75005.76320167759,24.715858400042634,,maximize,-75005.76320167758,-75005.70554094372,7.687507119139439e-07,7.687507119139438e-05,0.002,0.2,highspy_info,highspy_info.mip_gap,7.687507119139439e-07,-75005.76320167758,-75005.70554094372,<undefined>
7,144,168,24,24,220.01965059104728,200.0,0,0,match_week_initial,200.0,ok,optimal,-37816.608455559544,11.175621000002138,,maximize,-37816.60845555953,-37816.37657177868,6.131797385304267e-06,0.0006131797385304267,0.002,0.2,highspy_info,highspy_info.mip_gap,6.131797385304267e-06,-37816.60845555953,-37816.37657177868,<undefined>
