window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,364.61479427267506,0,0,match_window_initial,200.0,ok,optimal,-71403.05537909135,95.10221979999915,,maximize,-71403.05537909135,-71321.82894700873,0.0011375764195436207,0.11375764195436207,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0011375764195436207,-71403.05537909135,-71321.82894700873,<undefined>
2,24,72,48,24,364.61479427267506,840.8118715195019,0,0,match_window_initial,364.61479427267506,ok,optimal,-69355.61477493863,18.868371599994134,,maximize,-69355.61477493863,-69355.61477493863,0.0,0.0,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0,-69355.61477493863,-69355.61477493863,<undefined>
3,48,96,48,24,840.8118715195019,860.9516832324473,0,0,match_window_initial,840.8118715195019,ok,optimal,-74954.25244818383,49.949977300013416,,maximize,-74954.25244818385,-74804.42976614191,0.0019988549968597146,0.19988549968597147,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019988549968597146,-74954.25244818385,-74804.42976614191,<undefined>
4,72,120,48,24,860.9516832324473,750.17506987988,0,0,match_window_initial,860.9516832324473,ok,optimal,-74836.53884906482,50.20205139997415,,maximize,-74836.5388490648,-74695.43711485373,0.0018854657949328054,0.18854657949328055,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0018854657949328054,-74836.5388490648,-74695.43711485373,<undefined>
5,96,144,48,24,750.17506987988,716.9663418105386,0,0,match_window_initial,750.17506987988,ok,optimal,-74803.90105946327,32.94802260003053,,maximize,-74803.90105946324,-74802.72651337669,1.570166889579534e-05,0.0015701668895795342,0.002,0.2,highspy_info,highspy_info.mip_gap,1.570166889579534e-05,-74803.90105946324,-74802.72651337669,<undefined>
6,120,168,48,24,716.9663418105386,354.1222121850457,0,0,match_week_initial,200.0,ok,optimal,-73614.74645769825,29.987762700009625,,maximize,-73614.74645769827,-73614.19533839109,7.486534066971621e-06,0.0007486534066971621,0.002,0.2,highspy_info,highspy_info.mip_gap,7.486534066971621e-06,-73614.74645769827,-73614.19533839109,<undefined>
7,144,168,24,24,354.1222121850457,200.0,0,0,match_week_initial,200.0,ok,optimal,-37283.521676561046,13.593833299994003,,maximize,-37283.52167656104,-37282.93297573361,1.5789839611624398e-05,0.0015789839611624397,0.002,0.2,highspy_info,highspy_info.mip_gap,1.5789839611624398e-05,-37283.52167656104,-37282.93297573361,<undefined>
