window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,408.3118443169995,0,0,match_window_initial,200.0,ok,optimal,-71321.8291796304,63.244886600004975,,maximize,-71321.8291796304,-71190.38664637986,0.0018429495536280284,0.18429495536280283,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0018429495536280284,-71321.8291796304,-71190.38664637986,<undefined>
2,24,72,48,24,408.3118443169995,492.4883113907478,0,0,match_window_initial,408.3118443169995,ok,optimal,-72837.31665471713,216.00442620000103,,maximize,-72837.31665471716,-72755.09098058252,0.0011288948839840369,0.11288948839840368,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0011288948839840369,-72837.31665471716,-72755.09098058252,<undefined>
3,48,96,48,24,492.4883113907478,432.61319289767977,0,0,match_window_initial,492.4883113907478,ok,optimal,-78743.27178449773,14.7138518000138,,maximize,-78743.27178449772,-78679.87473736238,0.0008051106551533932,0.08051106551533932,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0008051106551533932,-78743.27178449772,-78679.87473736238,<undefined>
4,72,120,48,24,432.61319289767977,356.92013740209234,0,0,match_window_initial,432.61319289767977,ok,optimal,-74809.83663205979,11.192261599993799,,maximize,-74809.83663205976,-74806.76835842861,4.101430733278587e-05,0.004101430733278587,0.002,0.2,highspy_info,highspy_info.mip_gap,4.101430733278587e-05,-74809.83663205976,-74806.76835842861,<undefined>
5,96,144,48,24,356.92013740209234,295.4079951435361,0,0,match_window_initial,356.92013740209234,ok,optimal,-74779.21367214757,7.842815400043037,,maximize,-74779.21367214757,-74763.34455762901,0.00021221290970152492,0.021221290970152493,0.002,0.2,highspy_info,highspy_info.mip_gap,0.00021221290970152492,-74779.21367214757,-74763.34455762901,<undefined>
6,120,168,48,24,295.4079951435361,225.57426661378838,0,0,match_week_initial,200.0,ok,optimal,-75316.17313413371,8.900611500022933,,maximize,-75316.17313413369,-75299.46184842424,0.00022188176873624862,0.02218817687362486,0.002,0.2,highspy_info,highspy_info.mip_gap,0.00022188176873624862,-75316.17313413369,-75299.46184842424,<undefined>
7,144,168,24,24,225.57426661378838,200.0,0,0,match_week_initial,200.0,ok,optimal,-37818.42496364162,3.723793899989687,,maximize,-37818.42496364161,-37768.4740600547,0.0013208086702430042,0.1320808670243004,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0013208086702430042,-37818.42496364161,-37768.4740600547,<undefined>
