window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,objective_sense,incumbent_objective,best_bound_objective,achieved_gap_rel_fraction,achieved_gap_percent,requested_gap_rel_fraction,requested_gap_percent,diagnostic_source,gap_formula,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,45.30632468833994,0,0,match_window_initial,200.0,ok,optimal,-73242.30747393865,567.5669820000185,,maximize,-73242.30747393866,-73096.48091469449,0.001991015360842685,0.19910153608426848,0.002,0.2,highspy_info,highspy_info.mip_gap,0.001991015360842685,-73242.30747393866,-73096.48091469449,<undefined>
2,24,72,48,24,45.30632468833994,96.0290193201244,0,0,match_window_initial,45.30632468833994,ok,optimal,-73252.46036556944,100.4026149000274,,maximize,-73252.46036556942,-73106.31740789203,0.0019950586908352684,0.19950586908352685,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019950586908352684,-73252.46036556942,-73106.31740789203,<undefined>
3,48,96,48,24,96.0290193201244,107.63543444377021,0,0,match_window_initial,96.0290193201244,ok,optimal,-74847.93355779148,59.66950260003796,,maximize,-74847.93355779148,-74802.54164408069,0.0006064551358086572,0.060645513580865715,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0006064551358086572,-74847.93355779148,-74802.54164408069,<undefined>
4,72,120,48,24,107.63543444377021,45.306324688339885,0,0,match_window_initial,107.63543444377021,ok,optimal,-74709.33541272419,14.77722079999512,,maximize,-74709.33541272418,-74566.59647367908,0.0019105904002030283,0.19105904002030283,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0019105904002030283,-74709.33541272418,-74566.59647367908,<undefined>
5,96,144,48,24,45.306324688339885,45.306324688339885,0,0,match_window_initial,45.306324688339885,ok,optimal,-74677.15178155772,20.793543400010094,,maximize,-74677.15178155771,-74603.14830993269,0.0009909787647163434,0.09909787647163434,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0009909787647163434,-74677.15178155771,-74603.14830993269,<undefined>
6,120,168,48,24,45.306324688339885,94.04817576693364,0,0,match_week_initial,200.0,ok,optimal,-76366.81470852494,19.727385300036985,,maximize,-76366.81470852494,-76270.08882064046,0.0012665958146042139,0.1266595814604214,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0012665958146042139,-76366.81470852494,-76270.08882064046,<undefined>
7,144,168,24,24,94.04817576693364,200.0,0,0,match_week_initial,200.0,ok,optimal,-38414.714942944025,7.801832200028002,,maximize,-38414.71494294401,-38343.50989296846,0.0018535878785332109,0.18535878785332108,0.002,0.2,highspy_info,highspy_info.mip_gap,0.0018535878785332109,-38414.71494294401,-38343.50989296846,<undefined>
