window_id,global_start_idx,global_horizon_end,horizon_len,step_len,S0_mwh,S_boundary_mwh,must_on,must_off,window_terminal_soc_mode,window_terminal_soc_target_mwh,status,termination,objective_window,wallclock_s,reported_runtime_s,achieved_gap_rel,best_feasible_objective,best_objective_bound,message
1,0,48,48,24,200.0,104.81647876743392,0,0,match_window_initial,200.0,aborted,maxTimeLimit,-172012.73565978327,122.74846589996014,,2.6167452518973273,106394.45853199084,-172012.73565978327,<undefined>
2,24,72,48,24,104.81647876743392,20.934588704126234,0,0,match_window_initial,104.81647876743392,aborted,maxTimeLimit,-186431.23496313268,122.70336460002,,2.614340763510532,115484.43747261936,-186431.23496313265,<undefined>
3,48,96,48,24,20.934588704126234,0.0,0,0,match_window_initial,20.934588704126234,aborted,maxTimeLimit,-195759.09754847322,122.58086599997478,,2.6552329676401163,118266.79469027798,-195759.09754847316,<undefined>
4,72,120,48,24,0.0,2.0278508694569226e-13,0,0,match_window_initial,0.0,aborted,maxTimeLimit,-153523.61663476928,123.04113550001057,,2.275791745324082,120335.95388702764,-153523.61663476925,<undefined>
5,96,144,48,24,2.0278508694569226e-13,302.31789769318397,0,0,match_window_initial,2.0278508694569226e-13,aborted,maxTimeLimit,-127034.89355862194,122.73841160000302,,2.0405051020615246,122089.64022082271,-127034.89355862194,<undefined>
6,120,168,48,24,302.31789769318397,0.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-145776.3581778657,120.81364370003575,,2.2463626535167,116961.42993898882,-145776.35817786568,<undefined>
7,144,168,24,24,0.0,200.0,0,0,match_week_initial,200.0,aborted,maxTimeLimit,-55172.684064180234,120.5132270999602,,2.0041277301558815,54945.882288914756,-55172.68406418023,<undefined>
