datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,delta_e
2019-11-01 07:00:00,7.1,45.1,66.4,42.0,43.6,39.7,496.0
2019-11-01 08:00:00,7.5,44.9,78.1,42.6,45.0,38.9,318.0
2019-11-01 09:00:00,8.3,44.5,77.1,42.0,44.5,38.5,302.0
2019-11-01 10:00:00,9.0,44.2,74.2,41.4,43.7,37.9,289.0
2019-11-01 11:00:00,9.5,44.0,74.0,42.4,44.7,38.4,303.0
2019-11-01 12:00:00,9.7,43.9,73.6,41.2,43.4,37.8,275.0
2019-11-01 13:00:00,9.9,43.2,73.1,41.3,43.6,38.0,283.0
2019-11-01 14:00:00,9.8,43.3,71.9,39.7,37.4,36.9,200.0
2019-11-01 15:00:00,8.6,43.4,68.5,31.0,28.7,28.3,0.0
2019-11-01 16:00:00,8.3,43.5,71.3,40.8,41.4,28.5,128.0
2019-11-01 17:00:00,8.1,43.5,46.3,39.6,39.3,36.2,315.0
2019-11-01 18:00:00,8.1,43.5,76.5,40.0,42.6,37.7,321.0
2019-11-01 19:00:00,8.0,43.5,71.9,41.7,43.8,38.1,281.0
2019-11-01 20:00:00,8.3,43.5,72.5,41.6,44.0,37.8,265.0
2019-11-01 21:00:00,8.4,43.5,73.4,39.2,37.5,37.0,232.0
2019-11-01 22:00:00,8.7,43.4,69.4,32.1,29.5,29.1,0.0
2019-11-01 23:00:00,8.9,43.4,65.9,28.3,26.7,26.2,0.0
2019-11-02 00:00:00,8.5,43.5,63.3,25.6,25.4,25.0,0.0
2019-11-02 01:00:00,8.3,43.5,62.1,24.5,24.8,24.4,0.0
2019-11-02 02:00:00,8.4,43.5,61.3,24.0,24.3,24.0,0.0
2019-11-02 03:00:00,9.0,43.4,59.3,23.6,24.1,23.7,0.0
2019-11-02 04:00:00,9.5,43.3,58.1,23.4,24.0,23.5,0.0
2019-11-02 05:00:00,9.6,43.3,56.8,23.3,24.0,23.4,0.0
2019-11-02 06:00:00,9.4,43.4,55.4,23.1,23.7,23.2,0.0
2019-11-02 07:00:00,9.3,43.4,72.1,41.0,41.7,28.8,176.0
2019-11-02 08:00:00,9.7,43.3,71.7,39.9,42.1,37.6,403.0
2019-11-02 09:00:00,10.9,43.1,70.6,41.4,43.2,37.5,282.0
2019-11-02 10:00:00,12.0,43.0,71.2,41.8,43.7,37.6,283.0
2019-11-02 11:00:00,13.4,43.0,67.2,36.5,33.2,32.8,138.0
2019-11-02 12:00:00,14.4,43.0,65.3,31.3,28.7,28.2,45.0
2019-11-02 13:00:00,15.0,43.0,61.3,27.7,25.9,25.6,0.0
2019-11-02 14:00:00,16.2,43.0,58.3,26.0,24.7,24.5,0.0
2019-11-02 15:00:00,15.7,43.0,55.9,24.8,24.1,23.7,0.0
2019-11-02 16:00:00,14.9,43.0,54.2,24.1,23.7,23.3,0.0
2019-11-02 17:00:00,14.5,43.0,52.9,23.6,23.4,23.1,0.0
2019-11-02 18:00:00,14.1,44.0,51.4,23.1,23.4,23.0,0.0
2019-11-02 19:00:00,13.7,44.0,43.8,27.6,25.7,25.4,85.0
2019-11-02 20:00:00,14.1,44.0,71.2,42.0,39.7,39.3,484.0
2019-11-02 21:00:00,13.5,44.0,54.5,35.0,34.9,34.7,124.0
2019-11-02 22:00:00,13.4,44.0,73.1,41.5,39.4,38.9,287.0
2019-11-02 23:00:00,13.0,44.0,70.3,32.9,30.0,29.7,0.0
2019-11-03 00:00:00,13.0,44.0,67.8,27.8,26.9,26.4,0.0
2019-11-03 01:00:00,12.8,44.0,65.4,25.7,25.5,25.1,0.0
2019-11-03 02:00:00,12.5,44.0,63.9,24.4,25.0,24.4,0.0
