datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,delta_e
2021-11-01 07:00:00,6.5,47.2,83.9,43.5,48.0,41.9,238.0
2021-11-01 08:00:00,7.6,46.8,79.2,42.1,46.2,41.2,164.0
2021-11-01 09:00:00,9.4,46.0,77.2,42.3,46.3,41.1,161.0
2021-11-01 10:00:00,12.5,44.6,74.3,41.4,45.1,40.6,150.0
2021-11-01 11:00:00,15.7,44.0,71.1,40.3,39.5,38.9,119.0
2021-11-01 12:00:00,18.7,44.0,66.5,38.9,34.5,33.7,0.0
2021-11-01 13:00:00,20.5,44.0,62.8,37.2,30.4,27.7,0.0
2021-11-01 14:00:00,20.5,44.0,59.1,35.5,27.7,26.0,0.0
2021-11-01 15:00:00,20.7,44.0,56.0,34.1,26.9,25.7,0.0
2021-11-01 16:00:00,19.2,44.0,53.1,32.9,26.4,25.2,0.0
2021-11-01 17:00:00,16.2,44.0,50.5,31.7,25.9,24.7,0.0
2021-11-01 18:00:00,14.9,44.0,69.6,34.0,38.7,31.7,89.0
2021-11-01 19:00:00,13.9,43.0,71.4,39.6,42.6,39.5,175.0
2021-11-01 20:00:00,12.8,43.6,71.3,40.0,43.8,39.0,130.0
2021-11-01 21:00:00,12.0,44.8,73.9,41.1,45.0,40.0,147.0
2021-11-01 22:00:00,11.4,45.2,73.7,41.6,41.6,40.5,148.0
2021-11-01 23:00:00,10.8,45.3,68.3,40.0,34.2,34.0,0.0
2021-11-02 00:00:00,10.5,45.5,64.4,38.0,31.1,28.4,0.0
2021-11-02 01:00:00,11.1,45.2,60.4,36.1,27.7,25.9,0.0
2021-11-02 02:00:00,11.5,45.1,57.1,34.5,26.8,25.5,0.0
2021-11-02 03:00:00,12.2,44.7,53.9,33.0,26.3,25.0,0.0
2021-11-02 04:00:00,13.2,44.4,51.2,31.8,25.9,24.4,0.0
2021-11-02 05:00:00,13.1,44.4,48.6,30.6,25.4,24.0,0.0
2021-11-02 06:00:00,13.2,45.3,64.2,33.2,35.5,27.6,54.0
2021-11-02 07:00:00,13.6,45.1,74.8,42.1,45.8,40.7,208.0
