datetime,t_amb,t_ref,t_sup_prim,t_ret_prim,t_sup_sec,t_ret_sec,delta_e
2019-11-02 19:00:00,14.52,44.0,50.05,32.38,29.22,29.1,228.25
2019-11-02 20:00:00,14.35,44.0,57.8,35.05,33.05,33.1,228.25
2019-11-02 21:00:00,14.18,44.0,65.55,37.72,36.88,37.1,228.25
2019-11-02 22:00:00,14.0,44.0,73.3,40.4,40.7,41.1,228.25
2019-11-02 23:00:00,13.2,44.0,66.2,39.1,34.1,33.7,0.0
2019-11-03 00:00:00,13.8,44.0,60.8,37.6,32.8,32.0,0.0
2019-11-03 01:00:00,13.7,44.0,56.5,36.2,29.8,29.2,0.0
2019-11-03 02:00:00,13.4,44.0,54.9,36.2,29.4,26.8,0.0
2019-11-03 03:00:00,13.2,44.0,56.9,34.0,31.7,26.1,0.0
2019-11-03 04:00:00,13.4,44.0,55.5,29.7,27.7,25.6,0.0
2019-11-03 05:00:00,13.5,44.0,53.2,27.7,28.1,25.3,0.0
2019-11-03 06:00:00,13.4,44.0,61.4,31.9,39.0,28.2,99.0
2019-11-03 07:00:00,13.6,44.0,69.3,38.9,42.7,39.8,399.0
2019-11-03 08:00:00,15.1,44.0,62.0,38.9,34.9,35.4,145.0
2019-11-03 09:00:00,17.9,44.0,56.9,37.5,32.9,32.6,0.0
2019-11-03 10:00:00,18.6,44.0,52.7,36.0,31.5,31.1,0.0
2019-11-03 11:00:00,18.4,44.0,49.4,34.8,28.1,28.0,0.0
2019-11-03 12:00:00,18.5,44.0,46.5,33.6,26.7,26.5,0.0
2019-11-03 13:00:00,18.2,44.0,44.1,32.5,26.0,25.8,0.0
2019-11-03 14:00:00,17.8,44.0,42.4,31.6,26.0,25.8,0.0
2019-11-03 15:00:00,17.6,44.0,44.0,33.2,28.3,25.4,0.0
2019-11-03 16:00:00,17.9,44.0,50.5,26.5,32.6,24.7,0.0
2019-11-03 17:00:00,17.7,44.0,51.1,23.3,33.9,24.4,0.0
2019-11-03 18:00:00,16.7,44.0,50.9,23.0,33.9,24.7,0.0
2019-11-03 19:00:00,16.7,44.0,50.4,23.2,33.6,25.1,0.0
2019-11-03 20:00:00,16.3,42.0,49.5,23.4,33.7,25.2,0.0
2019-11-03 21:00:00,16.3,42.0,71.0,36.9,44.1,35.0,258.0
2019-11-03 22:00:00,14.0,42.0,58.1,36.8,32.9,33.3,127.0
2019-11-03 23:00:00,13.6,42.0,53.8,35.4,28.4,28.6,0.0
2019-11-04 00:00:00,13.2,42.0,50.1,34.1,26.4,26.7,0.0
2019-11-04 01:00:00,12.5,42.0,47.4,33.0,25.3,25.6,0.0
2019-11-04 02:00:00,16.7,42.0,45.2,32.1,24.7,25.1,0.0
2019-11-04 03:00:00,16.9,42.0,43.1,31.2,24.3,24.8,0.0
2019-11-04 04:00:00,17.0,42.0,41.9,30.4,24.4,24.7,0.0
2019-11-04 05:00:00,17.7,42.0,42.3,29.8,24.2,24.6,0.0
2019-11-04 06:00:00,17.9,42.0,52.5,30.0,35.3,27.1,81.0
2019-11-04 07:00:00,17.3,42.0,57.8,37.3,40.7,38.3,348.0
2019-11-04 08:00:00,19.4,42.0,69.6,37.7,37.1,37.5,196.0
2019-11-04 09:00:00,21.0,42.0,62.0,36.5,29.9,30.2,0.0
